[epoch 1][47/2188] loss: 0.0000 PSNR_train: 20.6822 SSIM_train: 0.4897
[epoch 1][48/2188] loss: 0.0000 PSNR_train: 21.2088 SSIM_train: 0.4932
[epoch 1][49/2188] loss: 0.0000 PSNR_train: 21.4391 SSIM_train: 0.5164
[epoch 1][50/2188] loss: 0.0000 PSNR_train: 21.2488 SSIM_train: 0.4826
[epoch 1][51/2188] loss: 0.0000 PSNR_train: 21.3877 SSIM_train: 0.4976
[epoch 1][52/2188] loss: 0.0000 PSNR_train: 21.7374 SSIM_train: 0.4948
[epoch 1][53/2188] loss: 0.0000 PSNR_train: 21.6593 SSIM_train: 0.5087
[epoch 1][54/2188] loss: 0.0000 PSNR_train: 21.5295 SSIM_train: 0.4896
[epoch 1][55/2188] loss: 0.0000 PSNR_train: 21.9909 SSIM_train: 0.4738
[epoch 1][56/2188] loss: 0.0000 PSNR_train: 21.7361 SSIM_train: 0.4897
[epoch 1][57/2188] loss: 0.0000 PSNR_train: 21.7187 SSIM_train: 0.5173
[epoch 1][58/2188] loss: 0.0000 PSNR_train: 21.5982 SSIM_train: 0.5029
[epoch 1][59/2188] loss: 0.0000 PSNR_train: 21.5607 SSIM_train: 0.5100
[epoch 1][60/2188] loss: 0.0000 PSNR_train: 22.0750 SSIM_train: 0.5074
[epoch 1][61/2188] loss: 0.0000 PSNR_train: 21.6468 SSIM_train: 0.4653
[epoch 1][62/2188] loss: 0.0000 PSNR_train: 22.1743 SSIM_train: 0.5292
[epoch 1][63/2188] loss: 0.0000 PSNR_train: 21.8117 SSIM_train: 0.5195
[epoch 1][64/2188] loss: 0.0000 PSNR_train: 21.9257 SSIM_train: 0.5071
[epoch 1][65/2188] loss: 0.0000 PSNR_train: 22.1980 SSIM_train: 0.5200
[epoch 1][66/2188] loss: 0.0000 PSNR_train: 21.9233 SSIM_train: 0.5351
[epoch 1][67/2188] loss: 0.0000 PSNR_train: 22.6294 SSIM_train: 0.5286
[epoch 1][68/2188] loss: 0.0000 PSNR_train: 22.0662 SSIM_train: 0.5076
[epoch 1][69/2188] loss: 0.0000 PSNR_train: 22.8928 SSIM_train: 0.5605
[epoch 1][70/2188] loss: 0.0000 PSNR_train: 21.7653 SSIM_train: 0.4857
[epoch 1][71/2188] loss: 0.0000 PSNR_train: 21.9669 SSIM_train: 0.5112
[epoch 1][72/2188] loss: 0.0000 PSNR_train: 22.4128 SSIM_train: 0.5258
[epoch 1][73/2188] loss: 0.0000 PSNR_train: 22.4958 SSIM_train: 0.5238
[epoch 1][74/2188] loss: 0.0000 PSNR_train: 21.9896 SSIM_train: 0.4856
[epoch 1][75/2188] loss: 0.0000 PSNR_train: 22.1457 SSIM_train: 0.4877
[epoch 1][76/2188] loss: 0.0000 PSNR_train: 22.2042 SSIM_train: 0.5259
[epoch 1][77/2188] loss: 0.0000 PSNR_train: 22.5517 SSIM_train: 0.5389
[epoch 1][78/2188] loss: 0.0000 PSNR_train: 22.6145 SSIM_train: 0.5259
[epoch 1][79/2188] loss: 0.0000 PSNR_train: 22.6990 SSIM_train: 0.5227
[epoch 1][80/2188] loss: 0.0000 PSNR_train: 22.7872 SSIM_train: 0.5731
[epoch 1][81/2188] loss: 0.0000 PSNR_train: 22.6638 SSIM_train: 0.5550
[epoch 1][82/2188] loss: 0.0000 PSNR_train: 22.3004 SSIM_train: 0.5352
[epoch 1][83/2188] loss: 0.0000 PSNR_train: 22.5025 SSIM_train: 0.5361
[epoch 1][84/2188] loss: 0.0000 PSNR_train: 22.2851 SSIM_train: 0.5036
[epoch 1][85/2188] loss: 0.0000 PSNR_train: 22.8442 SSIM_train: 0.5319
